"","V1"
"1",2.87669637347422
"2",11.5713818583946
"3",3.2295437996954
"4",3.45640313165158
"5",11.8562663363921
"6",3.21151568216252
"7",12.5936082760082
"8",3.20448616826995
"9",3.36859285237131
"10",2.58544443816355
"11",11.2197511603924
"12",12.1174159107735
"13",11.6424146003523
"14",3.48956445882894
"15",12.1346166081545
"16",11.9858774104764
"17",3.29098123681521
"18",2.78286188777718
"19",12.215634282333
"20",3.11515978992816
"21",3.80629267305494
"22",11.9283362547315
"23",3.19982603347594
"24",12.7018543125787
"25",2.27946380845467
"26",12.3091917372317
"27",12.6763497494492
"28",11.3169781446199
"29",2.60009814829188
"30",12.1365457170897
"31",3.31694473128964
"32",12.1162533633323
"33",12.1983583932512
"34",3.05648803626786
"35",11.9080513381991
"36",2.51023567501522
"37",12.1382226318314
"38",12.538418471069
"39",12.2800239347643
"40",12.1412048415609
"41",11.5543598629967
"42",11.1979590379467
"43",12.5876743723979
"44",11.9543638595025
"45",3.76997605076482
"46",11.8559237922539
"47",12.8510650861882
"48",3.22462831611852
"49",3.27356953528147
"50",12.1838809773484
"51",1.46511217419826
"52",11.3740624025652
"53",12.0149536017391
"54",3.43948926088889
"55",11.5950812433224
"56",12.5824648492313
"57",12.8809090843612
"58",4.35128944858346
"59",12.038445117636
"60",1.66785555404042
"61",12.2650348873979
"62",3.36897972551181
"63",12.2241417849448
"64",12.0548443555105
"65",11.819741220765
"66",11.6354545720845
"67",11.8547947127972
"68",3.14911490592611
"69",3.42348862710387
"70",3.8328087960817
"71",11.3987122634533
"72",11.4931640520909
"73",13.0679537428521
"74",12.0293520774859
"75",2.77786099588569
"76",2.84070987094669
"77",2.52970815074546
"78",3.11632726212927
"79",11.8298305062107
"80",12.0477139113483
"81",12.2895515057567
"82",11.6728944359775
"83",3.24475967045504
"84",12.6134493667166
"85",12.0699397484773
"86",2.53641643797711
"87",11.1845079010777
"88",4.10783074415608
"89",12.3819283206731
"90",11.0024921974443
"91",3.38065014649783
"92",3.1163933942807
"93",11.9392277395901
"94",11.9576588035693
"95",3.35835127746965
"96",11.7947288241633
"97",2.3191287897852
"98",11.350229920974
"99",4.08587889650436
"100",11.6629050303133
